affiliate_address,block_height,from_address,from_amount,from_asset,raw_row_text,status,timestamp,to_address,to_amount,to_asset,tx_hash,type
"4229
…
BC9E
22,068,680
bc1q
…
7x9w
thor
…
rssm",4229922068680179,bc1qn2um8khekykdvdfgzgh64u0xqqugetnggy7x9w,0.06410116,BTC,"4229
…
BC9E
22,068,680
bc1q
…
7x9w
thor
…
rssm
	
Swap
	
0.06410116
BTC
4,636.88
RUNE
	
Success
	
Jul 22 2025 09:23:59 AM (GMT-7)",Success,Jul 22 2025 09:23:59 AM (GMT-7),thor1csh8nu6jpzarx2kt42y89cfcs57xuq36nmrssm,"4,636.88",RUNE,422994FA9287270FB75227415056AB047BE5B818535AD44A0BB74E44CB50BC9E,Swap
"9A1B
…
F6A3
22,068,471
bc1q
…
7x9w
thor
…
rssm",916322068471179,bc1qn2um8khekykdvdfgzgh64u0xqqugetnggy7x9w,0.06414127,BTC,"9A1B
…
F6A3
22,068,471
bc1q
…
7x9w
thor
…
rssm
	
Swap
	
0.06414127
BTC
0.06412749
BTC
	
Refunded
	
Jul 22 2025 09:02:55 AM (GMT-7)",,Jul 22 2025 09:02:55 AM (GMT-7),thor1csh8nu6jpzarx2kt42y89cfcs57xuq36nmrssm,0.06412749,BTC,9A1BAC81A0D45DD2134E1087021521DA678517019C941FE2F89E23BF7413F6A3,Swap
"9D6A
…
88A6
22,067,487
cosm
…
4fes
bc1q
…
ptzy",968862206748741,cosmos17kazghllx89ch8dhrjppdtdmu4lprlzef94fes,305,ATOM,"9D6A
…
88A6
22,067,487
cosm
…
4fes
bc1q
…
ptzy
	
Swap
	
305
ATOM
0.01277063
BTC
	
Success
	
Jul 22 2025 07:24:00 AM (GMT-7)",Success,Jul 22 2025 07:24:00 AM (GMT-7),bc1qllu3xv45w4navy2rjh8uh7f97hjlgxu6agptzy,0.01277063,BTC,9D6A38F16E2B8262FBAB77165CBB3F73EDBFF9FD8FE57E576F0403521E0A88A6,Swap
"3051
…
880E
22,067,377
d72p
…
d4ts
0x08
…
00b3",305188022067377724008003,d72p9rsr6yhq3gtubbguxgh6lthqxgd4ts,701,DOGE,"3051
…
880E
22,067,377
d72p
…
d4ts
0x08
…
00b3
	
Swap
	
701
DOGE
0.04969498
ETH
	
Success
	
Jul 22 2025 07:12:55 AM (GMT-7)",Success,Jul 22 2025 07:12:55 AM (GMT-7),0x084a8E91387ccefd8872876D51Ad30017F9f00b3,0.04969498,ETH,3051EBF0F932036A829BF40A7B1EEA40E8376004D7709D008108927F3DE7880E,Swap
"3CEF
…
71D7
22,067,367
bc1q
…
l8qx
thor
…
us60",3717220673671860,bc1qdsnj7m30e9yjj40lkr6q395l76agm27gmsl8qx,0.04995,BTC,"3CEF
…
71D7
22,067,367
bc1q
…
l8qx
thor
…
us60
	
Swap
	
0.04995
BTC
3,652.16
RUNE
	
Success
	
Jul 22 2025 07:11:54 AM (GMT-7)",Success,Jul 22 2025 07:11:54 AM (GMT-7),thor1xf67lah83vfluxxr2adxp79m3vhcycm308us60,"3,652.16",RUNE,3CEF5D6579D239D9C83D0B835DCA39D16FE717A54715D23FB6DFD75E5F3A71D7,Swap
"CCEA
…
E1F5
22,066,986
bc1q
…
0qyz
thor
…
hf32",15220669861032,bc1qnghyrfegee8yya8uayx8kdt7nnn0e0h8zx0qyz,0.00997,BTC,"CCEA
…
E1F5
22,066,986
bc1q
…
0qyz
thor
…
hf32
	
Swap
	
0.00997
BTC
727.07210741
RUNE
	
Success
	
Jul 22 2025 06:33:40 AM (GMT-7)",Success,Jul 22 2025 06:33:40 AM (GMT-7),thor1mk0mhpxhylvfl9we4jrrt5k5m9flprjyfchf32,727.07210741,RUNE,CCEA93C64531115DB29438C15FCE6A4F583159B988A6027411B4DBA6E92CE1F5,Swap
"4A56
…
E637
22,063,804
thor
…
gwdm
0xEC
…
7dE8",45663722063804078,thor1tar98zylrhtnk7zas22u9wxfycgwg6t3qqgwdm,90,RUNE,"4A56
…
E637
22,063,804
thor
…
gwdm
0xEC
…
7dE8
	
Swap
	
90
RUNE
0.03929761
ETH
	
Success
	
Jul 22 2025 01:14:27 AM (GMT-7)",Success,Jul 22 2025 01:14:27 AM (GMT-7),0xECc9fec64272b55b5c50fE5508102Ee81B897dE8,0.03929761,ETH,4A56FA93ACEF884FA9CAE03DF9A6515C112A6699D838DBEBBD514EBDCA86E637,Swap
"A41E
…
3C72
22,063,048
cosm
…
98ax
thor
…
aa6u",4137222063048986,cosmos1pgnpjs3zg6sgm9pdhtrduqyyx4lq3l4fkd98ax,,,"A41E
…
3C72
22,063,048
cosm
…
98ax
thor
…
aa6u
	
Swap
	
1
ATOM
3.070233
RUNE
	
Success
	
Jul 21 2025 11:58:33 PM (GMT-7)",Success,Jul 21 2025 11:58:33 PM (GMT-7),thor10636ngkwx66fxrjzk6gzefcefnsa0lhyk0aa6u,,,A41EFEB4CBB96D0091AEC97B22B78D8303A6B9EBACAA79548B8B149E56FC3C72,Swap
"5FB8
…
83FE
22,059,839
0xa4
…
e938
bc1q
…
xgqp",588322059839049381,0xa4acbd4a3b9a682760cad7948fdd533cc8b4e938,248.764074,USDT,"5FB8
…
83FE
22,059,839
0xa4
…
e938
bc1q
…
xgqp
	
Swap
	
248.764074
USDT
0.00209343
BTC
	
Success
	
Jul 21 2025 06:37:38 PM (GMT-7)",Success,Jul 21 2025 06:37:38 PM (GMT-7),bc1q20amyhd9gkmmsgs9dv7yf3y0cfukat7pj0xgqp,0.00209343,BTC,5FB8FA3F20239AC52E43B1F3B52BEA5838CCA1C1ABB451C6B41FEBB615C383FE,Swap
"6C16
…
BC16
22,059,763
0x3d
…
dd3a
3Aic
…
ZhzQ",61616220597630333,0x3d504949ca5ff1143caca57d75ead1179ba1dd3a,0.0040165,ETH,"6C16
…
BC16
22,059,763
0x3d
…
dd3a
3Aic
…
ZhzQ
	
Swap
	
0.0040165
ETH
0.00011827
BTC
	
Success
	
Jul 21 2025 06:30:02 PM (GMT-7)",Success,Jul 21 2025 06:30:02 PM (GMT-7),3AicRQMzFkyFKV5G7Cfj6QP83RsxGsZhzQ,0.00011827,BTC,6C1613665DF10368F8EDE46B748D1420CECA2BE70C4A764104BFE7593898BC16,Swap
"1396
…
D08B
22,059,270
bc1q
…
d9gf
0x77
…
98D5",1396082205927019077985,bc1qzksjh47mg87ecemkq4cd39fntgnfasc746d9gf,0.0265,BTC,"1396
…
D08B
22,059,270
bc1q
…
d9gf
0x77
…
98D5
	
Swap
	
0.0265
BTC
0.82001847
ETH
	
Success
	
Jul 21 2025 05:40:39 PM (GMT-7)",Success,Jul 21 2025 05:40:39 PM (GMT-7),0x777b56B911611B2aC9b4c5D72E1ce80271ed98D5,0.82001847,ETH,1396A4586765FDA70B262C6961DF3CDC8A144CE78131763CBCFBDFCD9C8AD08B,Swap
"0958
…
02DD
22,058,925
0x3d
…
dd3a
thor
…
v3r8",0958022205892503338,0x3d504949ca5ff1143caca57d75ead1179ba1dd3a,,,"0958
…
02DD
22,058,925
0x3d
…
dd3a
thor
…
v3r8
	
Add
	
1
USDT
AVAX.USDT
	
Success
	
Jul 21 2025 05:06:09 PM (GMT-7)",Success,Jul 21 2025 05:06:09 PM (GMT-7),thor1ycgzfpcz93qa0xc392xgk75lfee5vdc59hv3r8,,,0958AAABA06E722F1829F33CBB4F78A1D954FE1FF68CCC1FE73B08319D7D02DD,Add
"8C92
…
8928
22,058,901
thor
…
v3r8
0x3d
…
dd3a",89289282205890138033,thor1ycgzfpcz93qa0xc392xgk75lfee5vdc59hv3r8,,,"8C92
…
8928
22,058,901
thor
…
v3r8
0x3d
…
dd3a
	
Add
	
0.59500923
RUNE
AVAX.USDT
	
Success
	
Jul 21 2025 05:03:45 PM (GMT-7)",Success,Jul 21 2025 05:03:45 PM (GMT-7),0x3d504949ca5ff1143caca57d75ead1179ba1dd3a,,,8C92A7EE6C793F1E36BF9C88FB5940AADB2CD2F324185141228070A1DFF08928,Add
"79A9
…
E46D
22,058,809
0x38
…
bded
0x38
…
BdED",7994622058809038038,0x38fe9e10a398d6bea22a9bf585de8143d58dbded,0.1855,AVAX,"79A9
…
E46D
22,058,809
0x38
…
bded
0x38
…
BdED
	
Swap
	
0.1855
AVAX
0.00098762
ETH
	
Success
	
Jul 21 2025 04:54:32 PM (GMT-7)",Success,Jul 21 2025 04:54:32 PM (GMT-7),0x38FE9e10a398D6BEa22A9Bf585de8143D58DBdED,0.00098762,ETH,79A99D07650529A0CE359FA37A16A89F66F8728F5CAE5AA341E7C9C115F8E46D,Swap
"A74D
…
E272
22,057,252
0xad
…
5fda
bc1q
…
8yp4",742722205725205184,0xad71fd9092c619b7e04023f9f9f15c2599d65fda,1.331,ETH,"A74D
…
E272
22,057,252
0xad
…
5fda
bc1q
…
8yp4
	
Swap
	
1.331
ETH
0.04229917
BTC
	
Success
	
Jul 21 2025 02:19:08 PM (GMT-7)",Success,Jul 21 2025 02:19:08 PM (GMT-7),bc1qwwlajfv6ajkemk2d0qxmj7kumxapzwgln28yp4,0.04229917,BTC,A74D7ED77D138CE172C66849B66F6CA9264D75497184C112CC00C2294EB3E272,Swap
"4364
…
6117
22,057,215
ltc1
…
pqcd
0x0A
…
8008",43646117220572151008008,ltc1qfrc55ytnnfjzydynl3d8d4dwafynk6yv6npqcd,94.2482,LTC,"4364
…
6117
22,057,215
ltc1
…
pqcd
0x0A
…
8008
	
Swap
	
94.2482
LTC
10,756.81
USDT
	
Success
	
Jul 21 2025 02:15:24 PM (GMT-7)",Success,Jul 21 2025 02:15:24 PM (GMT-7),0x0A4af8766a2c3259d0543064aa8e0044F4358008,"10,756.81",USDT,4364CBEA784ABA30B71382C260415C2B6B7476A454F7EC1CB61E7076199F6117,Swap
"A5F1
…
6DA5
22,055,627
0xef
…
e8ef
bc1q
…
u5mh",5165220556270815,0xef0c88cea8a6248bb9fbbd5d6df0ce530593e8ef,"4,000",DAI,"A5F1
…
6DA5
22,055,627
0xef
…
e8ef
bc1q
…
u5mh
	
Swap
	
4,000
DAI
0.03376836
BTC
	
Success
	
Jul 21 2025 11:35:40 AM (GMT-7)",Success,Jul 21 2025 11:35:40 AM (GMT-7),bc1qkck3fpevg3ly9u2u53a5xph7cu6y6vn6gru5mh,0.03376836,BTC,A5F1CF1CD142759E63AFD0AD3FD44A25569544EACFF3DA55D005347BA4D66DA5,Swap
"198D
…
6DDD
22,054,694",198622054694,thor125dwsa39yeylqc7pn59l079dur502nsleyrgup,,,"198D
…
6DDD
22,054,694
thor
…
rgup
	
Add
	
0.3
RUNE
BASE.USDC
	
Success
	
Jul 21 2025 10:01:53 AM (GMT-7)",Success,Jul 21 2025 10:01:53 AM (GMT-7),"198D
…
6DDD
22,054,694
thor
…
rgup",,,198D18FC0EFD7DF671357BE0024D585CF4E3F907EAA9C0D42971B66AC3616DDD,Add
"FC4B
…
622B
22,054,491
thor
…
m4sl
0x9b
…
aB06",46222205449140906,thor1jxglhe7n9u2t02cdpls2vgzl3a7392kmwzm4sl,"18,762",TCY,"FC4B
…
622B
22,054,491
thor
…
m4sl
0x9b
…
aB06
	
Swap
	
18,762
TCY
1.10944261
ETH
	
Success
	
Jul 21 2025 09:41:32 AM (GMT-7)",Success,Jul 21 2025 09:41:32 AM (GMT-7),0x9b3EA9d9C325b6a78e1Ef989F52d6A161922aB06,1.10944261,ETH,FC4B7A9B82B661A91AEB984B4B68B4265237DB92F79DC5C293A2AAB56342622B,Swap
"B9A0
…
0142
22,054,411
0x48
…
1ec5
bc1q
…
qdjn",90014222054411048151,0x48d330afea7fb9bf4185729aff8c0780b6901ec5,"1,100.93",USDC,"B9A0
…
0142
22,054,411
0x48
…
1ec5
bc1q
…
qdjn
	
Swap
	
1,100.93
USDC
0.0092536
BTC
	
Success
	
Jul 21 2025 09:33:27 AM (GMT-7)",Success,Jul 21 2025 09:33:27 AM (GMT-7),bc1qjgnxegawlhqzry6nvfcgt4gasx5njdet08qdjn,0.0092536,BTC,B9A04C3AB12EE544BADCE58D3DE69E6AB5C48F5451E10D836B4F16C3BB920142,Swap
"4F57
…
28C8
22,054,244
35w8
…
kuy3
0xDA
…
7795",45728822054244358307795,35w8u6azvfsyqixthvciusmhdkgiqzkuy3,0.03365785,BTC,"4F57
…
28C8
22,054,244
35w8
…
kuy3
0xDA
…
7795
	
Swap
	
0.03365785
BTC
1.04565001
ETH
	
Success
	
Jul 21 2025 09:16:38 AM (GMT-7)",Success,Jul 21 2025 09:16:38 AM (GMT-7),0xDAb2b85f3e944862107b7F81734b64B92a5D7795,1.04565001,ETH,4F573C9F48CCA1E43339A1B21916E4DB484A27BD18295957765E69B2AFDE28C8,Swap
"4C8B
…
4D11
22,054,126
0xfe
…
b476
thor
…
5fpr",484112205412604765,0xfe4a7c3c15891220c80ee887ed718e69a15fb476,0.07115384,AVAX,"4C8B
…
4D11
22,054,126
0xfe
…
b476
thor
…
5fpr
	
Swap
	
0.07115384
AVAX
7.85237768
TCY
	
Success
	
Jul 21 2025 09:04:40 AM (GMT-7)",Success,Jul 21 2025 09:04:40 AM (GMT-7),thor1pk3a89lkvt3eme6q40aq5ryfeed87y5crx5fpr,7.85237768,TCY,4C8BAB658D9AA619381B81E2029E97A62A37E043C2E651707AD07CD5E56D4D11,Swap
"9D01
…
AD6D
22,053,797
0x48
…
c372
DPSN
…
Wkfx",901622053797048372,0x482d68647337d82704b1374496b2975b1bb6c372,0.08589528,ETH,"9D01
…
AD6D
22,053,797
0x48
…
c372
DPSN
…
Wkfx
	
Swap
	
0.08589528
ETH
1,157.53
DOGE
	
Success
	
Jul 21 2025 08:30:27 AM (GMT-7)",Success,Jul 21 2025 08:30:27 AM (GMT-7),DPSNeTa6UTdj6H5Mj88q3p7AReCSCeWkfx,"1,157.53",DOGE,9D01EA052C38E1B9E3FA65781A841E977DD7F73B2BA5FD3FB6C2461D0729AD6D,Swap
"84E6
…
EA76
22,053,679
thor
…
2ez0
0xB7
…
98a3",84676220536792007983,thor10fparxlw83a5n0fjyllwjcea3avvckll0u2ez0,"14,885.96",RUNE,"84E6
…
EA76
22,053,679
thor
…
2ez0
0xB7
…
98a3
	
Swap
	
14,885.96
RUNE
6.71284874
ETH
	
Success
	
Jul 21 2025 08:18:19 AM (GMT-7)",Success,Jul 21 2025 08:18:19 AM (GMT-7),0xB727339B80F6B2736D8EcD1FAAf547f756D398a3,6.71284874,ETH,84E63A233F31CAF7A8EE0D8E581D1A8494F14521A878AECAB60E27BE62DDEA76,Swap
"8F00
…
CEBA
22,053,616
thor
…
2ez0
0xB7
…
98a3",800220536162007983,thor10fparxlw83a5n0fjyllwjcea3avvckll0u2ez0,"10,000",RUNE,"8F00
…
CEBA
22,053,616
thor
…
2ez0
0xB7
…
98a3
	
Swap
	
10,000
RUNE
4.4987162
ETH
	
Success
	
Jul 21 2025 08:11:55 AM (GMT-7)",Success,Jul 21 2025 08:11:55 AM (GMT-7),0xB727339B80F6B2736D8EcD1FAAf547f756D398a3,4.4987162,ETH,8F007BC5D72EE5902813D46889A611ADAA826D1771BF97B33C1F28C2D1D0CEBA,Swap
"B377
…
0FAF
22,053,581
drip
…
s47a
thor
…
5fpr",377022053581475,dripfvof3qqmv5j2bsrxywhyprby9es47a,36.5,DOGE,"B377
…
0FAF
22,053,581
drip
…
s47a
thor
…
5fpr
	
Swap
	
36.5
DOGE
44.55250709
TCY
	
Success
	
Jul 21 2025 08:08:16 AM (GMT-7)",Success,Jul 21 2025 08:08:16 AM (GMT-7),thor1pk3a89lkvt3eme6q40aq5ryfeed87y5crx5fpr,44.55250709,TCY,B37763C35A06973CC681FD70E9F12E8DC202BA111D421B019DA90974DFD80FAF,Swap
